name,phone,address,website,has_website,category,rating
Man vs Fries,(800) 782-7513,,,No,Mexican restaurant,2.8
Yolanda's Tamales Factory,(916) 256-7342,"6885 Luther Dr, Sacramento, CA 95823",https://instagram.com/yotamales?igshid=4jsipr8ybndm,Yes,Restaurant,4.1
Sac Tacos,(916) 529-3285,,http://www.sactacos.com/,Yes,Caterer,4.0
Strawberries Fabulous,(415) 827-9933,"601 Alhambra Blvd, Sacramento, CA 95816",,No,Bakery,5.0
Taco Exxpress #4,(279) 229-7152,"4601 Freeport Blvd, Sacramento, CA 95822",http://tacoexxpress.com/,Yes,Mexican restaurant,4.2
Tacos 916,(916) 206-5169,,https://www.tacos916.com/,Yes,Mobile caterer,5.0
Nash and Proper HQ,,"3270 Northgate Blvd, Sacramento, CA 95833",https://www.nashandproper.com/,Yes,Restaurant,4.2
Drake's: The Barn,(510) 423-0971,"985 Riverfront St, West Sacramento, CA 95691",https://drinkdrakes.com/places/the-barn/,Yes,Beer garden,4.5
Tacos La Piedad,(916) 923-4022,"2700 Northgate Blvd, Sacramento, CA 95833",https://tacoslapiedad.shop/,Yes,Mexican restaurant,4.4
Drake's: The Barn,(510) 423-0971,"985 Riverfront St, West Sacramento, CA 95691",https://drinkdrakes.com/places/the-barn/,Yes,Beer garden,4.5
Pilot Dealer,(916) 927-4774,,https://locations.pilotflyingj.com/us/ca/sacramento/2828-el-centro-rd,Yes,Truck stop,3.2
Harbor Autostop,(916) 372-2893,,http://www.shell.com/,Yes,Truck stop,3.2
Indian Spice Punjabi Dhaba,(916) 518-5480,,,No,Indian restaurant,4.8
TACO DE ORO,,,,No,Taco restaurant,
Sac Food Trucks,,,,No,Mobile caterer,
Touchstone Brewing Company,(916) 894-8844,,https://touchstoneclimbing.com/touchstone-brewing-company/,Yes,Brewery,4.6
Cariño,(916) 573-3173,"729 J St, Sacramento, CA 95814",,No,Mexican restaurant,4.8
Halal Falafel & Gyros,(916) 698-4631,Photo 1 on stephany diaz's review,,No,Greek restaurant,4.6
World Famous HOTBOYS Chicken,(916) 469-9139,"1115 21st Street suite b, Sacramento, CA 95811",http://worldfamoushotboys.com/,Yes,Fried chicken takeaway,4.4
At Ease Brewing Company,(916) 431-7940,"1825 I St, Sacramento, CA 95811",http://ateasebrewing.com/,Yes,Brewery,4.9
Bottle & Barlow,,"1120 R St, Sacramento, CA 95811",http://www.bottleandbarlow.com/,Yes,Bar,4.5
B&E Market & Gas,,"7596 Bradshaw Rd, Sacramento, CA 95829",,No,Convenience store,3.5
Sacramento Food Trucks | Event Catering Booking | Corporate Catering | Weddings Birthdays | Food Truck Marketing Services,(916) 467-4018,,http://www.sacramentofoodtrucks.org/,Yes,Media company,
Takeiros Taqueria,(916) 849-2870,,,No,Mexican restaurant,4.6
The Jazzy Bird,,"5090 Folsom Blvd, Sacramento, CA 95819",,No,Peruvian restaurant,4.9
Alameda Tacos Food Truck,(916) 694-9300,"3291 Truxel Rd, Sacramento, CA 95833",,No,Mexican restaurant,4.4
Bambi Vegan Tacos,(916) 942-9993,"1725 I St, Sacramento, CA 95811",,No,Vegan restaurant,4.7
